,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core, Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Screen_Size_inch,Price-binned,Screen-Full_HD,Screen-IPS_panel
183,183,HP,3,2,1,3,15.6,0.69,8,256,4.1,685,15.6,Low,True,False
184,184,HP,3,2,1,5,15.6,0.83,8,256,4.06,2414,15.6,Medium,True,False
185,185,HP,5,3,1,7,15.6,0.9,8,256,5.71,1983,15.6,Medium,True,False
186,186,Dell,4,2,1,7,12.5,0.97,16,256,2.6,2361,12.5,Medium,True,False
187,187,Samsung,4,2,1,7,15.6,0.93,8,256,2.89,2031,15.6,Medium,True,False
188,188,Dell,3,1,1,7,15.6,0.93,16,256,5.07,1501,15.6,Low,True,False
189,189,Acer,3,2,1,3,14.0,0.83,4,128,3.97,808,14.0,Low,False,True
190,190,Dell,1,3,1,5,15.6,0.86,8,256,5.78,1251,15.6,Low,True,False
191,191,Dell,3,1,1,3,15.6,0.69,8,256,4.41,939,15.6,Low,True,False
192,192,HP,5,3,1,7,15.6,0.97,8,256,6.92,2623,15.6,Medium,True,False
193,193,Asus,3,2,1,5,15.6,0.86,8,256,5.23,1396,15.6,Low,True,False
194,194,Dell,4,2,1,5,13.3,0.86,8,256,2.84,1904,13.3,Medium,True,False
195,195,Samsung,4,2,1,5,13.3,0.86,8,256,1.79,1904,13.3,Medium,True,False
196,196,Dell,3,1,1,5,15.6,0.86,8,256,4.81,1003,15.6,Low,True,False
197,197,Lenovo,4,2,1,7,14.0,0.93,8,256,2.91,2361,14.0,Medium,True,False
198,198,MSI,1,3,1,5,15.6,0.86,8,256,5.29,1523,15.6,Low,True,False
199,199,Acer,3,2,1,3,14.0,0.83,8,128,3.31,786,14.0,Low,False,True
200,200,Lenovo,3,2,1,5,14.0,0.79,8,256,3.75,1507,14.0,Low,True,False
201,201,Lenovo,3,2,1,5,14.0,0.9,8,256,2.91,2096,14.0,Medium,False,True
202,202,Dell,3,1,1,7,15.6,0.93,4,256,4.81,939,15.6,Low,True,False
203,203,Lenovo,4,3,1,7,14.0,0.97,8,256,4.32,2417,14.0,Medium,False,True
204,204,Asus,3,3,1,7,15.0,0.93,8,256,5.07,1000,15.0,Low,False,True
205,205,Dell,3,2,1,5,15.6,0.86,8,128,4.19,1200,15.6,Low,True,False
206,206,HP,3,1,1,5,15.6,0.9,8,256,4.06,1714,15.6,Medium,True,False
207,207,Toshiba,3,2,1,5,13.3,0.86,4,128,2.32,1632,13.3,Medium,True,False
208,208,Acer,3,2,1,5,14.0,0.86,8,256,3.44,1146,14.0,Low,False,True
209,209,Toshiba,3,2,1,7,15.0,0.93,8,256,4.41,1763,15.0,Medium,False,True
210,210,Samsung,4,3,1,7,15.0,0.93,16,256,2.71,2349,15.0,Medium,True,False
211,211,Dell,4,2,1,7,12.5,0.97,8,256,3.53,2147,12.5,Medium,True,False
212,212,Xiaomi,4,3,1,5,13.0,0.79,8,256,2.82,1188,13.0,Low,False,True
213,213,HP,3,2,1,5,15.6,0.86,4,256,4.5,1066,15.6,Low,True,False
214,214,HP,3,2,1,5,14.0,0.86,4,128,4.3,1607,14.0,Low,True,False
215,215,Samsung,4,2,1,7,15.0,0.93,8,256,2.58,2158,15.0,Medium,True,False
216,216,Lenovo,4,2,1,5,14.0,0.86,8,256,2.91,2285,14.0,Medium,False,True
217,217,Toshiba,3,2,1,5,13.3,0.86,8,256,2.32,1874,13.3,Medium,True,False
218,218,Dell,3,2,1,5,14.0,0.97,8,256,3.53,1531,14.0,Low,True,False
219,219,Lenovo,3,3,1,7,15.6,0.93,6,256,4.85,1002,15.6,Low,True,False
220,220,HP,3,3,1,7,15.6,0.93,8,256,4.5,1294,15.6,Low,True,False
221,221,Lenovo,3,2,1,5,13.3,0.86,4,128,3.18,1119,13.3,Low,True,False
222,222,HP,3,2,1,5,13.3,0.86,8,256,3.29,1219,13.3,Low,True,False
223,223,HP,4,1,1,7,15.6,0.86,8,256,4.06,1648,15.6,Medium,True,False
224,224,Toshiba,3,3,1,7,15.0,0.9,16,256,5.29,2509,15.0,Medium,False,True
225,225,Lenovo,4,2,1,7,12.0,0.93,8,256,3.0,2096,12.0,Medium,False,True
226,226,HP,3,2,1,5,15.6,0.79,8,256,5.09,1480,15.6,Low,True,False
227,227,Toshiba,3,2,1,5,14.0,0.79,4,128,3.24,1404,14.0,Low,False,True
228,228,HP,2,2,1,5,12.5,0.79,8,256,2.78,2120,12.5,Medium,True,False
229,229,Dell,4,2,1,5,14.0,0.86,8,256,3.0,2082,14.0,Medium,True,False
230,230,Dell,4,2,1,5,15.6,0.86,8,256,3.0,1870,15.6,Medium,True,False
231,231,Dell,4,2,1,7,14.0,0.97,8,256,3.0,2255,14.0,Medium,True,False
232,232,Toshiba,3,2,1,5,13.3,0.79,8,256,2.65,1855,13.3,Medium,True,False
233,233,Lenovo,4,2,1,7,14.0,0.9,8,256,3.75,1891,14.0,Medium,False,True
234,234,Toshiba,3,2,1,5,13.3,0.83,8,256,2.65,1950,13.3,Medium,True,False
235,235,Lenovo,4,2,1,5,12.0,0.9,8,256,3.0,2236,12.0,Medium,False,True
236,236,Lenovo,3,3,1,5,15.6,0.86,6,256,5.29,883,15.6,Low,True,False
237,237,Toshiba,3,2,1,5,14.0,0.79,8,256,4.3,1499,14.0,Low,True,False
